sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,11,Técnico em Administração,Concomitante,Gestão e Negócios,Educação a Distância,19AUG19:18:24:00,1000,Educação a Distância,Ativo,2,,3
Federal,Escolas Técnicas,SP,SENAC PENHA,29,MODELAGEM E COSTURA PARA INICIANTES,Concomitante,Produção Cultural e Design,Educação Presencial,19AUG19:18:29:00,84,Educação Presencial,Concluído,2,,24
Federal,Escolas Técnicas,SP,SENAC PENHA,29,MODELAGEM E COSTURA PARA INICIANTES,Concomitante,Produção Cultural e Design,Educação Presencial,19AUG19:18:29:00,84,Educação Presencial,Concluído,2,,24
Federal,Escolas Técnicas,SP,SENAC PENHA,29,MODELAGEM E COSTURA PARA INICIANTES,Concomitante,Produção Cultural e Design,Educação Presencial,19AUG19:18:29:00,84,Educação Presencial,Concluído,2,,24
Estadua,Escolas Técnicas,SP,BEZERRA DE MENEZES INSTITUTO TECNICO,6,Técnico em Enfermagem,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:21:30:00,1802,Educação Presencial,Ativo,2,,59
Federal,Escolas Técnicas,MG,SENAC - UNIDADE DE ENSINO TÉCNICO DO CEP DE BELO HORIZONTE,36,Unhas Decoradas - WEBTV,Concomitante,Ambiente e Saúde,Educação a Distância,19AUG19:13:13:00,20,Educação a Distância,Concluído,2,,1
Federal,Escolas Técnicas,MG,SENAC - UNIDADE DE ENSINO TÉCNICO DO CEP DE BELO HORIZONTE,36,Unhas Decoradas - WEBTV,Concomitante,Ambiente e Saúde,Educação a Distância,19AUG19:13:13:00,20,Educação a Distância,Concluído,2,,1
Estadua,Escolas Técnicas,RJ,INSTITUTO POLITÉCNICO DE SAÚDE,15,Técnico em Massoterapia,Subsequente,Ambiente e Saúde,Educação Presencial,19AUG19:13:31:00,1400,Educação Presencial,Ativo,3,,14
Federal,Escolas de Oferta Outros Cursos,SC,INSTITUTO FEDERAL DE SANTA CATARINA CAMPUS SÃO CARLOS,365,Inglês 5,,Informação e Comunicação,Educação Presencial,19AUG19:13:45:00,60,Educação Presencial,Ativo,,25,10
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,32,política e gestão na educação,,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:13:52:00,60,Educação Presencial,Concluído,,40,13
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,32,política e gestão na educação,,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:13:52:00,60,Educação Presencial,Concluído,,40,13
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,17,"EDUCAÇÃO, CULTURA E SOCIEDADE",,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:14:30:00,40,Educação Presencial,Concluído,,40,19
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,17,"EDUCAÇÃO, CULTURA E SOCIEDADE",,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:14:30:00,40,Educação Presencial,Concluído,,40,19
Federal,Escolas Técnicas,PE,SENAC/PE - SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL,9,COSTUREIRO,Subsequente,Produção Cultural e Design,Educação Presencial,19AUG19:15:08:00,212,Educação Presencial,Concluído,3,,20
Federal,Escolas Técnicas,PE,SENAC/PE - SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL,9,COSTUREIRO,Subsequente,Produção Cultural e Design,Educação Presencial,19AUG19:15:08:00,212,Educação Presencial,Concluído,3,,20
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,18,Assistente de Secretaria Escolar,Concomitante,Desenvolvimento Educacional e So,Educação a Distância,19AUG19:15:22:00,200,Educação a Distância,Concluído,2,,2
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,18,Assistente de Secretaria Escolar,Concomitante,Desenvolvimento Educacional e So,Educação a Distância,19AUG19:15:22:00,200,Educação a Distância,Concluído,2,,2
Federal,Escolas Técnicas,MA,senac - Serviço nacional de aprendizagem comercial,18,Assistente de Secretaria Escolar,Concomitante,Desenvolvimento Educacional e So,Educação a Distância,19AUG19:15:22:00,200,Educação a Distância,Concluído,2,,2
Federal,Escolas de Oferta Outros Cursos,BA,Instituto Federal Baiano - Campus Governador Mangabeira,23,história e cultura afro-brasileira,,,Educação Presencial,19AUG19:15:49:00,360,Educação Presencial,Ativo,,25,28
